MANDT,PRCTR,DATBI,KOKRS,DATAB,ERSDA,USNAM,MERKMAL,ABTEI,VERAK,VERAK_USER,WAERS,NPRCTR,LAND1,ANRED,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,STRAS,PFACH,PSTLZ,PSTL2,SPRAS,TELBX,TELF1,TELF2,TELFX,TELTX,TELX1,DATLT,DRNAM,KHINR,BUKRS,VNAME,RECID,ETYPE,TXJCD,REGIO,KVEWE,KAPPL,KALSM,LOGSYSTEM,LOCK_IND,PCA_TEMPLATE,SEGMENT,/SIE/ASP_BUNIT,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,PC-0234,20250930,469X,20250501,20230209,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI20,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0227,20250930,469X,20211001,20211004,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0673,20250930,469X,20221001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9410,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0689,20250930,469X,20231001,20240117,,,GBS PTI,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9400,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0090,20250930,469X,20221001,20191022,,,SI EA S,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20250930,194735,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0133,20250930,469X,20241001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0678,20250930,469X,20241001,20191023,,,GBS PS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9430,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0228,20250930,469X,20211001,20211004,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0687,20250930,469X,20241001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0135,20250930,469X,20191001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0123,20250930,469X,20241001,20191017,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPPD10,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0162,20250930,469X,20191001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0677,20250930,469X,20241001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0109,20250930,469X,20221001,20191022,,,SI EA S,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0262,20250930,469X,20250701,20250716,,,SDF DIFF,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDF99,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0126,20250930,469X,20241001,20191023,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDF20,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0691,20250930,469X,20240801,20240822,,,GBS PS,,,,SEG-009,,,,,,,,,,,,,E,,,,,,,,,L60SHP9400,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0238,20250930,469X,20241001,20240116,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0696,20250930,469X,20241001,20200715,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0229,20250930,469X,20220901,20220918,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,213644,2025-09-30 21:37:51.784,2025-09-30 21:39:36.395
500,PC-0150,20250930,469X,20191001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,212640,2025-09-30 21:26:46.020,2025-09-30 21:39:36.395
500,PC-0690,20250930,469X,20221001,20191117,,,GBS MSD,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9430,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0168,20250930,469X,20241001,20191023,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPPD10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0682,20250930,469X,20191001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9410,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0674,20250930,469X,20221001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9430,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0694,20250930,469X,20241001,20191023,,,GBS PTI,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0151,20250930,469X,20191001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0159,20250930,469X,20241001,20191023,,,DI PA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPPD20,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0233,20250930,469X,20241001,20220928,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI20,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0684,20250930,469X,20241001,20191224,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0240,20250930,469X,20241001,20240116,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI20,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0683,20250930,469X,20221001,20191023,,,GBS MSD,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0124,20250930,469X,20241001,20191023,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPPD10,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0685,20250930,469X,20191001,20191023,,,GBS DS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9440,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0131,20250930,469X,20191001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0681,20250930,469X,20191001,20191023,,,GBS MSD,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0679,20250930,469X,20241001,20191023,,,GBS PTI,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0680,20250930,469X,20191001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9410,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0676,20250930,469X,20221001,20191023,,,GBS DM,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9460,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0134,20250930,469X,20241001,20191023,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDF20,,,,,,,,,,,,,,,20250930,194846,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0686,20250930,469X,20191001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0158,20250930,469X,20241001,20191023,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDF20,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0675,20250930,469X,20221001,20191023,,,GBS FIN,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHC9409,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0177,20250930,469X,20211001,20191023,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,X,,,,20250930,213418,2025-09-30 21:34:30.323,2025-09-30 21:39:36.395
500,PC-0692,99991231,469X,20251001,20240924,,,GBS PS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9400,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0262,99991231,469X,20251001,20250716,,,SDF DIFF,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDF99,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0234,20250430,469X,20241001,20230209,,,DI MC,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI20,,,,,,,,,,,X,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0671,20240930,469X,20191001,20191023,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,145939,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0087,20240930,469X,20221001,20191022,,,SI GSW,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20241021,145832,2024-10-21 14:58:38.627,2024-10-21 15:12:13.208
500,PC-0094,20240930,469X,20221001,20200820,,,SI GSW,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20241021,145832,2024-10-21 14:58:38.627,2024-10-21 15:12:13.208
500,PC-0668,20240930,469X,20191001,20191023,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,145939,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0669,20240930,469X,20191001,20191023,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,145939,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0118,20240930,469X,20221001,20191023,,,SI GSW,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20241021,145851,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0670,20240930,469X,20191001,20191023,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,145939,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0697,20240930,469X,20211201,20211216,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,150012,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0688,20240930,469X,20191001,20191117,,,GBS H2R,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20241021,150026,2024-10-21 15:03:45.514,2024-10-21 15:12:13.208
500,PC-0089,20240930,469X,20221001,20191023,,,SI GSW,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPSI35,,,,,,,,,,,,,,,20241021,145832,2024-10-21 14:58:38.627,2024-10-21 15:12:13.208
500,PC-0679,20240930,469X,20191001,20191023,,,GBS PTI,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9420,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0677,20240930,469X,20221001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0684,20240930,469X,20221001,20191224,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200128,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0687,20240930,469X,20221001,20191023,,,GBS FPS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9450,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0720,20250930,469H,20181001,20121003,,,SHS DX LD,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,200657,2025-09-26 20:09:10.807,2025-09-26 20:10:09.608
500,PC-0718,20250930,469H,20181001,20121003,,,SHS DX POC,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP4000,,,,,,,,,,,,,,,20250926,200359,2025-09-26 20:04:35.219,2025-09-26 20:10:09.608
500,PC-0723,20250930,469H,20181001,20121003,,,SHS_MDX,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250929,182318,2025-09-29 18:23:25.916,2025-09-29 18:42:24.293
500,PC-0722,20250930,469H,20181001,20121003,,,SHS DX POC,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP4000,,,,,,,,,,,,,,,20250926,200818,2025-09-26 20:09:10.807,2025-09-26 20:10:09.608
500,PC-0713,20250930,469H,20181001,20121003,,,SHS CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,,,,,20250926,195822,2025-09-26 19:59:09.692,2025-09-26 20:10:09.608
500,PC-0711,20250930,469H,20181001,20121003,,,SHS CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,,,,,20250926,195709,2025-09-26 19:59:09.692,2025-09-26 20:10:09.608
500,PC-0717,20250930,469H,20181001,20121003,,,SHS DX LD,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,200359,2025-09-26 20:04:35.219,2025-09-26 20:10:09.608
500,PC-0719,20250930,469H,20181001,20121003,,,SHS_MDX,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,200521,2025-09-26 20:09:10.807,2025-09-26 20:10:09.608
500,PC-0710,20250930,469H,20231001,20121003,,,SHS DX CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,,,,,20250926,195105,2025-09-26 19:54:01.777,2025-09-26 20:10:09.608
500,PC-0704,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250929,173434,2025-09-29 17:38:51.167,2025-09-29 17:40:35.613
500,PC-0726,20250930,469H,20221001,20221017,,,SHS SF,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP9501,,,,,,,,,,,,,,,20250929,172324,2025-09-29 17:27:50.865,2025-09-29 17:40:35.613
500,PC-0705,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250929,173554,2025-09-29 17:38:51.167,2025-09-29 17:40:35.613
500,PC-0728,20250930,469H,20241001,20241010,,,SHS IT,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP9503,,,,,,,,,,,,,,,20250929,172457,2025-09-29 17:27:50.865,2025-09-29 17:40:35.613
500,PC-0702,20250930,469H,20231001,20230929,,,SHS DX CLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250929,173004,2025-09-29 17:33:26.614,2025-09-29 17:40:35.613
500,PC-0701,20250930,469H,20231001,20230929,,,SHS DX CLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250929,172850,2025-09-29 17:33:26.614,2025-09-29 17:40:35.613
500,PC-0703,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250929,173105,2025-09-29 17:33:26.614,2025-09-29 17:40:35.613
500,PC-0712,20250930,469H,20181001,20121003,,,SHS CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,X,,,,20250929,182830,2025-09-29 18:28:47.445,2025-09-29 18:42:24.293
500,PC-0727,20250930,469H,20230701,20230724,,,SHS CI,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP9501,,,,,,,,,,,,,,,20250929,172324,2025-09-29 17:27:50.865,2025-09-29 17:40:35.613
500,PC-0721,20250930,469H,20181001,20121003,,,SHS DX LD,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,200657,2025-09-26 20:09:10.807,2025-09-26 20:10:09.608
500,PC-0707,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250926,194720,2025-09-26 19:48:24.514,2025-09-26 20:10:09.608
500,PC-0714,20250930,469H,20231001,20121003,,,SHS DX CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,,,,,20250926,195822,2025-09-26 19:59:09.692,2025-09-26 20:10:09.608
500,PC-0708,20250930,469H,20231001,20230929,,,SHS DX CLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,194840,2025-09-26 19:54:01.777,2025-09-26 20:10:09.608
500,PC-0700,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250926,194456,2025-09-26 19:48:24.514,2025-09-26 20:10:09.608
500,PC-0715,20250930,469H,20231001,20121003,,,SHS DX CS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP8000,,,,,,,,,,,,,,,20250926,200034,2025-09-26 20:04:35.219,2025-09-26 20:10:09.608
500,PC-0706,20250930,469H,20231001,20230929,,,SHS DX CLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,194613,2025-09-26 19:48:24.514,2025-09-26 20:10:09.608
500,PC-0709,20250930,469H,20231001,20230929,,,SHS DX SLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3001,,,,,,,,,,,,,,,20250929,180607,2025-09-29 18:06:18.205,2025-09-29 18:11:43.564
500,PC-0716,20250930,469H,20181001,20121003,,,SHS DX LD,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3000,,,,,,,,,,,,,,,20250926,200034,2025-09-26 20:04:35.219,2025-09-26 20:10:09.608
500,PC-0699,20250930,469H,20231001,20180329,,,SHS DX CLS,,,,SEG-010,,,,,,,,,,,,,P,,,,,,,,,L80SHP3101,,,,,,,,,,,,,,,20250926,194301,2025-09-26 19:43:15.131,2025-09-26 20:10:09.608
500,PC-0648,20250731,469X,20221001,20191023,,,CIE,,,,SEG-003,,,,,,,,,,,,,P,,,,,,,,,CIT0198W,,,,,,,,,,,,,,,20250811,151455,2025-08-11 15:15:00.666,2025-08-11 15:45:28.046
500,PC-0651,20250731,469X,20191001,20200401,,,CIE,,,,SEG-003,,,,,,,,,,,,,P,,,,,,,,,CIT01987,,,,,,,,,,,,,,,20250811,151838,2025-08-11 15:18:48.340,2025-08-11 15:45:28.046
